verb,sl,sl_noloc,sl_nowith,inch,non_inch,there,non_there,dat_both,dative_to,dat_do,refl_op,refl_only
accorded,0,0,0,0,x,0,x,0,0,1,0,0
refused,0,0,0,0,x,0,x,0,0,1,0,0
saved,0,0,0,0,1,0,1,0,0,1,0,0
bore,0,0,0,0,x,0,x,0,0,1,0,0
charged,0,0,0,0,x,0,x,0,0,1,0,0
overcharged,0,0,0,0,x,0,x,0,0,1,0,0
bet,0,0,0,0,x,0,x,0,0,1,0,0
tipped,0,0,0,0,x,0,x,0,0,1,0,0
spared,0,0,0,0,x,0,x,0,0,1,0,0
fined,0,0,0,0,x,0,x,0,0,1,0,0
taxed,0,0,0,0,x,0,x,0,0,1,0,0
appointed,0,0,0,0,x,0,x,0,0,1,0,0
elected,0,0,0,0,x,0,x,0,0,1,0,0
crowned,0,0,0,0,x,0,x,0,0,1,0,0
pronounced,0,0,0,0,x,0,x,0,0,1,0,0
made,0,0,0,0,x,0,x,0,0,1,0,0
dubbed,0,0,0,0,x,0,x,0,0,1,0,0
named,0,0,0,0,x,0,x,0,0,1,0,0
considered,0,0,0,0,x,0,x,0,0,1,0,0
deemed,0,0,0,0,x,0,x,0,0,1,0,0
fancied,0,0,0,0,x,0,x,0,0,1,0,0
judged,0,0,0,0,x,0,x,0,0,1,0,0
found,0,0,0,0,x,0,x,0,0,1,0,0
proclaimed,0,0,0,0,x,0,x,0,0,1,0,0
thought,0,0,0,0,x,0,x,0,0,1,0,0
labeled,0,0,0,0,x,0,x,0,0,1,0,0
ruled,0,0,0,0,x,0,x,0,0,1,0,0
opened,0,0,0,1,0,0,1,0,0,0,0,1
closed,0,0,0,1,0,0,1,0,0,0,0,1
shut,x,x,x,1,0,0,1,0,0,0,0,0
flung open,x,x,x,1,0,x,x,0,0,0,0,0
broke,0,0,0,1,0,x,x,0,0,0,0,1
shattered,x,x,x,1,0,0,1,0,0,0,0,0
cracked,x,x,x,1,0,0,1,0,0,0,0,0
chipped,0,0,0,1,0,0,1,0,0,0,0,1
dropped,0,0,1,1,0,x,x,0,0,0,0,0
tipped over,x,x,x,1,0,x,x,0,0,0,0,0
rolled,0,0,0,1,0,x,x,0,0,0,0,1
moved,x,x,x,1,0,x,x,0,0,0,0,0
maneuvered,x,x,x,1,0,x,x,0,0,0,0,0
steered,x,x,x,1,0,x,x,0,0,0,0,0
crashed,x,x,x,1,0,0,1,0,0,0,0,0
stopped,x,x,x,1,0,x,x,0,0,0,0,0
slowed,x,x,x,1,0,0,1,0,0,0,0,0
accelerated,x,x,x,1,0,0,1,0,0,0,0,0
popped,x,x,x,1,0,x,x,0,0,0,0,0
burst,x,x,x,1,0,1,0,0,0,0,0,0
burned,0,0,0,1,0,1,0,0,0,0,0,1
scorched,x,x,x,1,0,x,x,0,0,0,0,0
singed,x,x,x,1,0,x,x,0,0,0,0,0
blackened,x,x,x,1,0,x,x,0,0,0,0,0
melted,x,x,x,1,0,0,1,0,0,0,0,0
softened,x,x,x,1,0,x,x,0,0,0,0,0
liquefied,x,x,x,1,0,x,x,0,0,0,0,0
bounced,x,x,x,1,0,x,x,0,0,0,0,0
twirled,0,0,1,1,0,x,x,0,0,0,0,0
twisted,0,0,1,1,0,1,0,0,0,0,0,1
turned,0,0,0,1,0,x,x,0,0,0,0,1
rotated,x,x,x,1,0,x,x,0,0,0,0,0
vaporized,x,x,x,1,0,x,x,0,0,0,0,0
evaporated,x,x,x,1,0,x,x,0,0,0,0,0
condensed,x,x,x,1,0,x,x,0,0,0,0,0
bent,x,x,x,1,0,x,x,0,0,0,0,0
folded,0,0,0,1,0,x,x,0,0,0,0,1
wrinkled,0,0,0,1,0,x,x,0,0,0,0,1
crumpled,x,x,x,1,0,x,x,0,0,0,0,0
warped,x,x,x,1,0,x,x,0,0,0,0,0
frayed,x,x,x,1,0,x,x,0,0,0,0,0
stretched,0,0,0,1,0,x,x,0,0,0,0,1
unfolded,x,x,x,1,0,x,x,0,0,0,0,0
flattened,x,x,x,1,0,x,x,0,0,0,0,0
smoothed,x,x,x,1,0,x,x,0,0,0,0,0
grew,x,x,x,1,0,1,0,0,0,0,0,0
enlarged,x,x,x,1,0,x,x,0,0,0,0,0
expanded,x,x,x,1,0,x,x,0,0,0,0,0
shrank,x,x,x,1,0,x,x,0,0,0,0,0
dissolved,x,x,x,1,0,x,x,0,0,0,0,0
darkened,x,x,x,1,0,x,x,0,0,0,0,0
brightened,x,x,x,1,0,x,x,0,0,0,0,0
faded,x,x,x,1,0,x,x,0,0,0,0,0
dimmed,x,x,x,1,0,x,x,0,0,0,0,0
soaked,0,1,0,1,0,x,x,0,0,0,0,0
steeped,x,x,x,1,0,x,x,0,0,0,0,0
heated,x,x,x,1,0,0,1,0,0,0,0,0
cooled,x,x,x,1,0,0,1,0,0,0,0,0
warmed,x,x,x,1,0,0,1,0,0,0,0,0
defrosted,x,x,x,1,0,0,1,0,0,0,0,0
emptied,x,x,x,1,0,x,x,0,0,0,0,0
filled,0,1,0,1,0,x,x,0,0,0,0,0
loosened,x,x,x,1,0,x,x,0,0,0,0,0
tightened,x,x,x,1,0,x,x,0,0,0,0,0
doubled,x,x,x,1,0,x,x,0,0,0,0,0
tripled,x,x,x,1,0,x,x,0,0,0,0,0
quadrupled,x,x,x,1,0,x,x,0,0,0,0,0
dried,x,x,x,1,0,x,x,0,0,0,0,0
moistened,x,x,x,1,0,x,x,0,0,0,0,0
dampened,x,x,x,1,0,x,x,0,0,0,0,0
improved,x,x,x,1,0,x,x,0,0,0,0,0
developed,x,x,x,1,0,x,x,0,0,0,0,0
worsened,x,x,x,1,0,x,x,0,0,0,0,0
destroyed,x,x,x,0,1,0,1,0,0,0,0,0
washed,0,0,0,0,1,0,1,0,0,0,1,0
cleaned,x,x,x,0,1,0,1,0,0,0,0,0
mopped,x,x,x,0,1,0,1,0,0,0,0,0
swept,0,0,1,0,1,0,1,0,0,0,0,0
ate,x,x,x,0,1,0,1,0,0,0,0,0
devoured,x,x,x,0,1,0,1,0,0,0,0,0
wrote,x,x,x,0,1,0,1,0,0,0,0,0
watched,x,x,x,0,1,0,1,0,0,0,0,0
saw,x,x,x,0,1,0,1,0,0,0,0,0
watered,x,x,x,0,1,0,1,0,0,0,0,0
harvested,x,x,x,0,1,0,1,0,0,0,0,0
cut,0,0,0,0,1,0,1,0,0,0,0,1
chopped,x,x,x,0,1,0,1,0,0,0,0,0
peeled,x,x,x,0,1,0,1,0,0,0,0,0
sliced,x,x,x,0,1,0,1,0,0,0,0,0
minced,x,x,x,0,1,0,1,0,0,0,0,0
polished,x,x,x,0,1,0,1,0,0,0,0,0
buffed,x,x,x,0,1,0,1,0,0,0,0,0
sanded,x,x,x,0,1,0,1,0,0,0,0,0
understood,x,x,x,0,1,0,1,0,0,0,0,0
solved,x,x,x,0,1,0,1,0,0,0,0,0
complicated,x,x,x,0,1,0,1,0,0,0,0,0
deposited,x,x,x,0,1,0,1,0,0,0,0,0
withdrew,x,x,x,0,1,0,1,0,0,0,0,0
collected,x,x,x,0,1,0,1,0,0,0,0,0
recounted,x,x,x,0,1,0,1,0,0,0,0,0
edited,x,x,x,0,1,0,1,0,0,0,0,0
published,x,x,x,0,1,0,1,0,0,0,0,0
skimmed,x,x,x,0,1,0,1,0,0,0,0,0
admired,x,x,x,0,1,0,1,0,0,0,0,0
hated,x,x,x,0,1,0,1,0,0,0,0,0
liked,x,x,x,0,1,0,1,0,0,0,0,0
loved,x,x,x,0,1,0,1,0,0,0,0,0
enjoyed,x,x,x,0,1,0,1,0,0,0,0,0
exposed,x,x,x,0,1,0,1,0,0,0,0,0
concealed,x,x,x,0,1,0,1,0,0,0,0,0
covered up,x,x,x,0,1,0,1,0,0,0,0,0
uncovered,x,x,x,0,1,0,1,0,0,0,0,0
witnessed,x,x,x,0,1,0,1,0,0,0,0,0
perceived,x,x,x,0,1,0,1,0,0,0,0,0
glimpsed,x,x,x,0,1,0,1,0,0,0,0,0
drank,x,x,x,0,1,0,1,0,0,0,0,0
chugged,x,x,x,0,1,0,1,0,0,0,0,0
swallowed,x,x,x,0,1,0,1,0,0,0,0,0
wasted,x,x,x,0,1,0,1,0,0,0,0,0
crammed,1,0,0,x,x,x,x,0,0,0,0,0
loaded,1,0,0,x,x,x,x,0,0,0,0,0
stuffed,1,0,0,x,x,x,x,0,0,0,0,0
packed,1,0,0,x,x,x,x,0,0,0,0,0
brushed,1,0,0,x,x,x,x,0,0,0,1,0
dusted,1,0,0,x,x,x,x,0,0,0,0,0
injected,1,0,0,x,x,x,x,0,0,0,0,0
crowded,1,0,0,x,x,x,x,0,0,0,0,0
jammed,1,0,0,x,x,x,x,0,0,0,0,0
splashed,1,0,0,x,x,x,x,0,0,0,0,0
splattered,1,0,0,x,x,x,x,0,0,0,0,0
sprayed,1,0,0,x,x,x,x,0,0,0,0,0
spritzed,1,0,0,x,x,x,x,0,0,0,0,0
pumped,1,0,0,x,x,x,x,0,0,0,0,0
sprinkled,1,0,0,x,x,x,x,0,0,0,0,0
rubbed,1,0,0,x,x,x,x,0,0,0,0,1
squirted,1,0,0,x,x,x,x,0,0,0,0,0
smeared,1,0,0,x,x,x,x,0,0,0,0,0
slathered,1,0,0,x,x,x,x,0,0,0,0,0
dabbed,1,0,0,x,x,x,x,0,0,0,0,0
daubed,1,0,0,x,x,x,x,0,0,0,0,0
spreaded,1,0,0,x,x,x,x,0,0,0,0,0
plastered,1,0,0,x,x,x,x,0,0,0,0,0
smudged,1,0,0,x,x,x,x,0,0,0,0,0
hung,1,0,0,x,x,1,0,0,0,0,0,1
draped,1,0,0,x,x,x,x,0,0,0,0,0
sowed,1,0,0,x,x,x,x,0,0,0,0,0
planted,1,0,0,x,x,x,x,0,0,0,0,0
scattered,1,0,0,x,x,x,x,0,0,0,0,0
anointed,0,1,0,x,x,x,x,0,0,0,0,0
bathed,0,1,0,x,x,x,x,0,0,0,0,0
smothered,0,1,0,x,x,x,x,0,0,0,0,0
coated,0,1,0,x,x,x,x,0,0,0,0,0
covered,0,1,0,x,x,x,x,0,0,0,0,0
adorned,0,1,0,x,x,x,x,0,0,0,0,0
decorated,0,1,0,x,x,x,x,0,0,0,0,0
embellished,0,1,0,x,x,x,x,0,0,0,0,0
festooned,0,1,0,x,x,x,x,0,0,0,0,0
garnished,0,1,0,x,x,x,x,0,0,0,0,0
ornamented,0,1,0,x,x,x,x,0,0,0,0,0
ringed,0,1,0,x,x,x,x,0,0,0,0,0
wreathed,0,1,0,x,x,x,x,0,0,0,0,0
garlanded,0,1,0,x,x,x,x,0,0,0,0,0
cluttered,0,1,0,x,x,x,x,0,0,0,0,0
studded,0,1,0,x,x,x,x,0,0,0,0,0
emblazoned,0,1,0,x,x,x,x,0,0,0,0,0
encrusted,0,1,0,x,x,x,x,0,0,0,0,0
dappled,0,1,0,x,x,x,x,0,0,0,0,0
inlaid,0,1,0,x,x,x,x,0,0,0,0,0
robed,0,1,0,x,x,x,x,0,0,0,0,0
swaddled,0,1,0,x,x,x,x,0,0,0,0,0
shrouded,0,1,0,x,x,x,x,0,0,0,0,0
veiled,0,1,0,x,x,x,x,0,0,0,0,0
encircled,0,1,0,x,x,x,x,0,0,0,0,0
surrounded,0,1,0,x,x,x,x,0,0,0,0,0
masked,0,1,0,x,x,x,x,0,0,0,0,0
suffused,0,1,0,x,x,x,x,0,0,0,0,0
carpeted,0,1,0,x,x,x,x,0,0,0,0,0
blanketed,0,1,0,x,x,x,x,0,0,0,0,0
littered,0,1,0,x,x,x,x,0,0,0,0,0
doused,0,1,0,x,x,x,x,0,0,0,0,0
drenched,0,1,0,x,x,x,x,0,0,0,0,0
flooded,0,1,0,x,x,x,x,0,0,0,0,0
deluged,0,1,0,x,x,x,x,0,0,0,0,0
contaminated,0,1,0,x,x,x,x,0,0,0,0,0
dirtied,0,1,0,x,x,x,x,0,0,0,0,0
polluted,0,1,0,x,x,x,x,0,0,0,0,0
soiled,0,1,0,x,x,x,x,0,0,0,0,0
stained,0,1,0,x,x,x,x,0,0,0,0,0
tainted,0,1,0,x,x,x,x,0,0,0,0,0
clogged,0,1,0,x,x,x,x,0,0,0,0,0
stopped up,0,1,0,x,x,x,x,0,0,0,0,0
plugged,0,1,0,x,x,x,x,0,0,0,0,0
dammed,0,1,0,x,x,x,x,0,0,0,0,0
bandaged,0,1,0,x,x,x,x,0,0,0,0,0
bound,0,1,0,x,x,x,x,0,0,0,0,0
choked,0,1,0,x,x,x,x,0,0,0,0,0
innundated,0,1,0,x,x,x,x,0,0,0,0,0
repopulated,0,1,0,x,x,x,x,0,0,0,0,0
replenished,0,1,0,x,x,x,x,0,0,0,0,0
saturated,0,1,0,x,x,x,x,0,0,0,0,0
staffed,0,1,0,x,x,x,x,0,0,0,0,0
lined,0,1,0,x,x,x,x,0,0,0,0,0
trimmed,0,1,0,x,x,x,x,0,0,0,0,1
tiled,0,1,0,x,x,x,x,0,0,0,0,0
paved,0,1,0,x,x,x,x,0,0,0,0,0
edged,0,1,0,x,x,x,x,0,0,0,0,0
framed,0,1,0,x,x,x,x,0,0,0,0,0
dotted,0,1,0,x,x,x,x,0,0,0,0,0
interspersed,0,1,0,x,x,x,x,0,0,0,0,0
interleaved,0,1,0,x,x,x,x,0,0,0,0,0
interweaved,0,1,0,x,x,x,x,0,0,0,0,0
interlaced,0,1,0,x,x,x,x,0,0,0,0,0
imbued,0,1,0,x,x,x,x,0,0,0,0,0
speckled,0,1,0,x,x,x,x,0,0,0,0,0
mottled,0,1,0,x,x,x,x,0,0,0,0,0
flecked,0,1,0,x,x,x,x,0,0,0,0,0
splotched,0,1,0,x,x,x,x,0,0,0,0,0
blotted,0,1,0,x,x,x,x,0,0,0,0,0
poured,0,0,1,x,x,x,x,0,0,0,0,0
ladled,0,0,1,x,x,x,x,0,0,0,0,0
dumped,0,0,1,x,x,x,x,0,0,0,0,0
funnelled,0,0,1,x,x,x,x,0,0,0,0,0
scooped,0,0,1,x,x,x,x,0,0,0,0,0
siphoned,0,0,1,x,x,x,x,0,0,0,0,0
spooned,0,0,1,x,x,x,x,0,0,0,0,0
slopped,0,0,1,x,x,x,x,0,0,0,0,0
sloshed,0,0,1,x,x,x,x,0,0,0,0,0
immersed,0,0,1,x,x,x,x,0,0,0,0,0
situated,0,0,1,x,x,x,x,0,0,0,0,0
hoisted,0,0,1,x,x,x,x,0,0,0,0,0
lifted,0,0,1,x,x,x,x,0,0,0,0,0
raised,0,0,1,x,x,x,x,0,0,0,0,1
lowered,0,0,1,x,x,x,x,0,0,0,0,0
placed,0,0,1,x,x,x,x,0,0,0,0,0
set,0,0,1,x,x,x,x,0,0,0,0,1
put,0,0,1,x,x,x,x,0,0,0,0,0
rested,0,0,1,x,x,1,0,0,0,0,0,0
stowed,0,0,1,x,x,x,x,0,0,0,0,0
stashed,0,0,1,x,x,x,x,0,0,0,0,0
pushed,0,0,1,x,x,x,x,0,0,0,0,0
installed,0,0,1,x,x,x,x,0,0,0,0,0
positioned,0,0,1,x,x,x,x,0,0,0,0,0
sat,0,0,1,x,x,1,0,0,0,0,0,0
leaned,0,0,1,x,x,x,x,0,0,0,0,0
dangled,0,0,1,x,x,1,0,0,0,0,0,0
slung,0,0,1,x,x,x,x,0,0,0,0,0
suspended,0,0,1,x,x,x,x,0,0,0,0,0
mounted,0,0,1,x,x,x,x,0,0,0,0,0
hammered,0,0,1,x,x,x,x,0,0,0,0,0
pounded,0,0,1,x,x,x,x,0,0,0,0,0
rammed,0,0,1,x,x,x,x,0,0,0,0,0
banged,0,0,1,x,x,x,x,0,0,0,0,0
dripped,0,0,1,x,x,x,x,0,0,0,0,0
dribbled,0,0,1,x,x,x,x,0,0,0,0,0
spilled,0,0,1,x,x,1,0,0,0,0,0,0
spewed,0,0,1,x,x,x,x,0,0,0,0,0
spurted,0,0,1,x,x,x,x,0,0,0,0,0
shovelled,0,0,1,x,x,x,x,0,0,0,0,0
shook,0,0,1,x,x,x,x,0,0,0,0,1
scraped,0,0,1,x,x,x,x,0,0,0,0,0
raked,0,0,1,x,x,x,x,0,0,0,0,0
coiled,0,0,1,x,x,x,x,0,0,0,0,0
curled,0,0,1,x,x,x,x,0,0,0,0,1
looped,0,0,1,x,x,x,x,0,0,0,0,0
wound,0,0,1,x,x,x,x,0,0,0,0,0
spun,0,0,1,x,x,x,x,0,0,0,0,0
whirled,0,0,1,x,x,x,x,0,0,0,0,0
arranged,0,0,1,x,x,x,x,0,0,0,0,0
laid,0,0,1,x,x,x,x,0,0,0,0,0
perched,0,0,1,x,x,1,0,0,0,0,0,0
stood,0,0,1,x,x,1,0,0,0,0,0,0
blazed,x,x,x,x,x,1,0,0,0,0,0,0
crackled,x,x,x,x,x,1,0,0,0,0,0,0
smoldered,x,x,x,x,x,1,0,0,0,0,0,0
thrived,x,x,x,x,x,1,0,0,0,0,0,0
clung,x,x,x,x,x,1,0,0,0,0,0,0
decayed,x,x,x,x,x,1,0,0,0,0,0,0
festered,x,x,x,x,x,1,0,0,0,0,0,0
rotted,x,x,x,x,x,1,0,0,0,0,0,0
decomposed,x,x,x,x,x,1,0,0,0,0,0,0
existed,x,x,x,x,x,1,0,0,0,0,0,0
remained,x,x,x,x,x,1,0,0,0,0,0,0
persisted,x,x,x,x,x,1,0,0,0,0,0,0
dwelled,x,x,x,x,x,1,0,0,0,0,0,0
lived,x,x,x,x,x,1,0,0,0,0,0,0
resided,x,x,x,x,x,1,0,0,0,0,0,0
settled,x,x,x,x,x,1,0,0,0,0,0,0
coexisted,x,x,x,x,x,1,0,0,0,0,0,0
loomed,x,x,x,x,x,1,0,0,0,0,0,0
projected,x,x,x,x,x,1,0,0,0,0,0,0
protruded,x,x,x,x,x,1,0,0,0,0,0,0
hovered,x,x,x,x,x,1,0,0,0,0,0,0
crouched,x,x,x,x,x,1,0,0,0,0,0,0
kneeled,x,x,x,x,x,1,0,0,0,0,0,0
squatted,x,x,x,x,x,1,0,0,0,0,0,0
swung,x,x,x,x,x,1,0,0,0,0,0,0
meandered,x,x,x,x,x,1,0,0,0,0,0,0
weaved,x,x,x,x,x,1,0,0,0,0,0,0
wandered,x,x,x,x,x,1,0,0,0,0,0,0
emanated,x,x,x,x,x,1,0,0,0,0,0,0
exuded,x,x,x,x,x,1,0,0,0,0,0,0
emerged,x,x,x,x,x,1,0,0,0,0,0,0
gushed,x,x,x,x,x,1,0,0,0,0,0,0
issued,x,x,x,x,x,1,0,0,0,0,0,0
appeared,x,x,x,x,x,1,0,0,0,0,0,0
surged,x,x,x,x,x,1,0,0,0,0,0,0
began,x,x,x,x,x,1,0,0,0,0,0,0
ensued,x,x,x,x,x,1,0,0,0,0,0,0
occurred,x,x,x,x,x,1,0,0,0,0,0,0
followed,x,x,x,x,x,1,0,0,0,0,0,0
graduated,x,x,x,x,x,0,1,0,0,0,0,0
flunked out,x,x,x,x,x,0,1,0,0,0,0,0
concluded,x,x,x,x,x,0,1,0,0,0,0,0
finished,x,x,x,x,x,0,1,0,0,0,0,0
ended,x,x,x,x,x,0,1,0,0,0,0,0
slammed,x,x,x,x,x,0,1,0,0,0,0,0
collided,x,x,x,x,x,0,1,0,0,0,0,0
bumped,0,0,0,x,x,0,1,0,0,0,0,1
froze,x,x,x,x,x,0,1,0,0,0,0,0
solidified,x,x,x,x,x,0,1,0,0,0,0,0
halted,x,x,x,x,x,0,1,0,0,0,0,0
stomped,x,x,x,x,x,0,1,0,0,0,0,0
stepped,x,x,x,x,x,0,1,0,0,0,0,0
jumped,x,x,x,x,x,0,1,0,0,0,0,0
believed,x,x,x,x,x,0,1,0,0,0,0,0
had faith,x,x,x,x,x,0,1,0,0,0,0,0
trusted,x,x,x,x,x,0,1,0,0,0,0,0
yelled,x,x,x,x,x,0,1,0,0,0,0,0
screamed,x,x,x,x,x,0,1,0,0,0,0,0
hollered,x,x,x,x,x,0,1,0,0,0,0,0
talked,x,x,x,x,x,0,1,0,0,0,0,0
lectured,x,x,x,x,x,0,1,0,0,0,0,0
spoke,x,x,x,x,x,0,1,0,0,0,0,0
played,x,x,x,x,x,0,1,0,0,0,0,0
juggled,x,x,x,x,x,0,1,0,0,0,0,0
agreed,x,x,x,x,x,0,1,0,0,0,0,0
dealt,x,x,x,x,x,0,1,0,0,0,0,0
disagreed,x,x,x,x,x,0,1,0,0,0,0,0
looked,x,x,x,x,x,0,1,0,0,0,0,0
searched,x,x,x,x,x,0,1,0,0,0,0,0
focused,x,x,x,x,x,0,1,0,0,0,0,0
concentrated,x,x,x,x,x,0,1,0,0,0,0,0
stuck,x,x,x,x,x,0,1,0,0,0,0,0
adhered,x,x,x,x,x,0,1,0,0,0,0,0
blinked,0,0,0,x,x,x,x,0,x,0,1,0
squinted,0,0,0,x,x,x,x,0,x,0,1,0
winked,0,0,0,x,x,x,x,0,x,0,1,0
clapped,0,0,0,x,x,x,x,0,x,0,1,0
waved,0,0,0,x,x,x,x,0,x,0,1,1
nodded,0,0,0,x,x,x,x,0,x,0,1,0
pointed,0,0,0,x,x,x,x,0,x,0,1,0
shrugged,0,0,0,x,x,x,x,0,x,0,1,0
flexed,0,0,0,x,x,x,x,0,x,0,1,1
flossed,0,0,0,x,x,x,x,0,x,0,1,0
shaved,0,0,0,x,x,x,x,0,x,0,1,0
bared,0,0,0,x,x,x,x,0,x,0,0,1
gnashed,0,0,0,x,x,x,x,0,x,0,0,1
ground,0,0,0,x,x,x,x,0,x,0,0,1
flashed,0,0,0,x,x,x,x,0,x,0,0,1
clenched,0,0,0,x,x,x,x,0,x,0,0,1
crossed,0,0,0,x,x,x,x,0,x,0,0,1
puckered,0,0,0,x,x,x,x,0,x,0,0,1
pursed,0,0,0,x,x,x,x,0,x,0,0,1
smacked,0,0,0,x,x,x,x,0,x,0,0,1
shuffled,0,0,0,x,x,x,x,0,x,0,0,1
snapped,0,0,0,x,x,x,x,0,x,0,0,1
arched,0,0,0,x,x,x,x,0,x,0,0,1
craned,0,0,0,x,x,x,x,0,x,0,0,1
batted,0,0,0,x,x,x,x,0,x,0,0,1
fluttered,0,0,0,x,x,x,x,0,x,0,0,1
twitched,0,0,0,x,x,x,x,0,x,0,0,1
crooked,0,0,0,x,x,x,x,0,x,0,0,1
wagged,0,0,0,x,x,x,x,0,x,0,0,1
blew,0,0,0,x,x,x,x,0,x,0,0,1
wiggled,0,0,0,x,x,x,x,0,x,0,0,1
cocked,0,0,0,x,x,x,x,0,x,0,0,1
wrung,0,0,0,x,x,x,x,0,x,0,0,1
waggled,0,0,0,x,x,x,x,0,x,0,0,1
flapped,0,0,0,x,x,x,x,0,x,0,0,1
knit,0,0,0,x,x,x,x,0,x,0,0,1
clicked,0,0,0,x,x,x,x,0,x,0,0,1
bobbed,0,0,0,x,x,x,x,0,x,0,0,1
braided,0,0,0,x,x,x,x,0,x,0,0,1
combed,0,0,0,x,x,x,x,0,x,0,0,1
conditioned,0,0,0,x,x,x,x,0,x,0,0,1
crimped,0,0,0,x,x,x,x,0,x,0,0,1
cropped,0,0,0,x,x,x,x,0,x,0,0,1
dyed,0,0,0,x,x,x,x,0,x,0,0,1
lathered,0,0,0,x,x,x,x,0,x,0,0,1
parted,0,0,0,x,x,x,x,0,x,0,0,1
permed,0,0,0,x,x,x,x,0,x,0,0,1
plaited,0,0,0,x,x,x,x,0,x,0,0,1
rinsed,0,0,0,x,x,x,x,0,x,0,0,1
shampooed,0,0,0,x,x,x,x,0,x,0,0,1
teased,0,0,0,x,x,x,x,0,x,0,0,1
plucked,0,0,0,x,x,x,x,0,x,0,0,1
clipped,0,0,0,x,x,x,x,0,x,0,0,1
manicured,0,0,0,x,x,x,x,0,x,0,0,1
filed,0,0,0,x,x,x,x,0,x,0,0,1
coldcreamed,0,0,0,x,x,x,x,0,x,0,0,1
